รายการบัญชี - Seller Balance,,,สรุป,,,,,ยอดคงเหลือ,
หน่วยเงิน:,THB,,เงินเข้า,,เงินออก,,,ยอดตั้งต้น,89163.0
วันที่:,2023-02-27-2023-03-29,,จำนวนการทำรายการ:,311,จำนวนการทำรายการ:,5,,ยอดคงเหลือสุทธิ,17170.0
,,,ยอดรวม:,701405.0,ยอดรวม:,773398.0


วันที่,ผู้นำจ่าย,จำนวนเงิน,รายการ,สถานะ,ยอดคงเหลือ
2023-03-29 14:38,Seller Balance,459.0,เงินโอนจากคำสั่งซื้อ #230325D5HA05EG,,17170.0
2023-03-29 14:27,Seller Balance,3293.0,เงินโอนจากคำสั่งซื้อ #2303249U5B7TDC,,16711.0
2023-03-29 12:01,Seller Balance,12209.0,เงินโอนจากคำสั่งซื้อ #230328KNUY50WX,,13418.0
2023-03-29 08:46,Seller Balance,1209.0,เงินโอนจากคำสั่งซื้อ #230326EPPHGHM3,,1209.0
2023-03-29 05:57,ธนาคาร,-178075.0,การถอนเงินอัตโนมัติ,ทำรายการสำเร็จ,0.0
2023-03-28 23:06,Seller Balance,1173.0,เงินโอนจากคำสั่งซื้อ #230326EFJ5FSVT,,178075.0
2023-03-28 23:04,Seller Balance,2999.0,เงินโอนจากคำสั่งซื้อ #230325C8Q1KCEV,,176902.0
2023-03-28 23:02,Seller Balance,7652.0,เงินโอนจากคำสั่งซื้อ #230325CGXPR6NY,,173903.0
2023-03-28 22:49,Seller Balance,1546.0,เงินโอนจากคำสั่งซื้อ #2303249K5KS8CW,,166251.0
2023-03-28 14:38,Seller Balance,459.0,เงินโอนจากคำสั่งซื้อ #230319T5214XS8,,164705.0
2023-03-28 12:54,Seller Balance,1154.0,เงินโอนจากคำสั่งซื้อ #230324A7SHW7YW,,164246.0
2023-03-28 10:19,Seller Balance,768.0,เงินโอนจากคำสั่งซื้อ #2303237129QSN8,,163092.0
2023-03-28 10:08,Seller Balance,592.0,เงินโอนจากคำสั่งซื้อ #23032251E9HEM6,,162324.0
2023-03-28 02:57,Seller Balance,603.0,เงินโอนจากคำสั่งซื้อ #230317MNC6UWJR,,161732.0
2023-03-27 23:23,Seller Balance,582.0,เงินโอนจากคำสั่งซื้อ #23032375NMR2Q5,,161129.0
2023-03-27 21:04,Seller Balance,1500.0,เงินโอนจากคำสั่งซื้อ #230325C54V391X,,160547.0
2023-03-27 16:55,Seller Balance,514.0,เงินโอนจากคำสั่งซื้อ #2303224NRAU6UC,,159047.0
2023-03-27 15:15,Seller Balance,458.0,เงินโอนจากคำสั่งซื้อ #2303237GFXDGD1,,158533.0
2023-03-27 14:41,Seller Balance,4012.0,เงินโอนจากคำสั่งซื้อ #2303249F4M7G4M,,158075.0
2023-03-27 13:41,Seller Balance,751.0,เงินโอนจากคำสั่งซื้อ #230319U30PWUUC,,154063.0
2023-03-27 13:28,Seller Balance,473.0,เงินโอนจากคำสั่งซื้อ #230325C00JE88D,,153312.0
2023-03-27 13:24,Seller Balance,944.0,เงินโอนจากคำสั่งซื้อ #2303237PEH5XCR,,152839.0
2023-03-27 12:07,Seller Balance,715.0,เงินโอนจากคำสั่งซื้อ #2303236UQUPGM6,,151895.0
2023-03-27 11:32,Seller Balance,8163.0,เงินโอนจากคำสั่งซื้อ #230325B09WP335,,151180.0
2023-03-27 09:50,Seller Balance,4652.0,เงินโอนจากคำสั่งซื้อ #230325B0708028,,143017.0
2023-03-27 09:42,Seller Balance,1640.0,เงินโอนจากคำสั่งซื้อ #2303237487AESQ,,138365.0
2023-03-27 09:27,Seller Balance,606.0,เงินโอนจากคำสั่งซื้อ #230325C0U64DFP,,136725.0
