รายการบัญชี - Seller Balance,,,สรุป,,,,,ยอดคงเหลือ,
หน่วยเงิน:,THB,,เงินเข้า,,เงินออก,,,ยอดตั้งต้น,32586.0
วันที่:,2023-11-13-2023-11-17,,จำนวนการทำรายการ:,43,จำนวนการทำรายการ:,1,,ยอดคงเหลือสุทธิ,24493.0
,,,ยอดรวม:,39737.0,ยอดรวม:,47830.0


วันที่,ผู้นำจ่าย,จำนวนเงิน,รายการ,สถานะ,ยอดคงเหลือ,
2023-11-17 09:32,Seller Balance,1178.0,เงินโอนจากคำสั่งซื้อ #231113FRS0H3QC,,24493.0,
2023-11-17 09:26,Seller Balance,508.0,เงินโอนจากคำสั่งซื้อ #2311071TD7KXGT,,23315.0,
2023-11-17 01:31,Seller Balance,1179.0,เงินโอนจากคำสั่งซื้อ #2311071GDAV00U,,22807.0,
2023-11-17 01:24,Seller Balance,480.0,เงินโอนจากคำสั่งซื้อ #2311070VMQ6YAM,,21628.0,
2023-11-16 18:23,Seller Balance,482.0,เงินโอนจากคำสั่งซื้อ #231113H3BT5951,,21148.0,
2023-11-16 16:43,Seller Balance,3428.0,เงินโอนจากคำสั่งซื้อ #231114JRYPV370,,20666.0,
2023-11-16 16:35,Seller Balance,1450.0,เงินโอนจากคำสั่งซื้อ #2311095S5TXJAM,,17238.0,
2023-11-16 16:18,Seller Balance,227.0,เงินโอนจากคำสั่งซื้อ #231115MB549EFV,,15788.0,
2023-11-16 16:09,Seller Balance,481.0,เงินโอนจากคำสั่งซื้อ #231115MT6PR4SP,,15561.0,
2023-11-16 14:17,Seller Balance,2004.0,เงินโอนจากคำสั่งซื้อ #2311083WS2G6FM,,15080.0,
2023-11-16 13:15,Seller Balance,569.0,เงินโอนจากคำสั่งซื้อ #2311096GF1HTUV,,13076.0,
2023-11-16 02:08,Seller Balance,568.0,เงินโอนจากคำสั่งซื้อ #231106U8RK321C,,12507.0,
2023-11-15 21:03,Seller Balance,987.0,เงินโอนจากคำสั่งซื้อ #231113ETGUEUQ9,,11939.0,
2023-11-15 18:56,Seller Balance,5794.0,เงินโอนจากคำสั่งซื้อ #2311119W9P22AJ,,10952.0,
2023-11-15 14:18,Seller Balance,545.0,เงินโอนจากคำสั่งซื้อ #231114HX595PYS,,5158.0,
2023-11-15 13:08,Seller Balance,966.0,เงินโอนจากคำสั่งซื้อ #231111BHSNM77D,,4613.0,
2023-11-15 11:11,Seller Balance,494.0,เงินโอนจากคำสั่งซื้อ #2311108CQ89607,,3647.0,
2023-11-15 09:25,Seller Balance,1178.0,เงินโอนจากคำสั่งซื้อ #231104PHHAESQ8,,3153.0,
2023-11-15 08:47,Seller Balance,1179.0,เงินโอนจากคำสั่งซื้อ #231106U28JFUF9,,1975.0,
2023-11-15 08:40,Seller Balance,569.0,เงินโอนจากคำสั่งซื้อ #231106UBD2S794,,796.0,
2023-11-15 08:07,Seller Balance,227.0,เงินโอนจากคำสั่งซื้อ #2311070SYA2KRG,,227.0,
2023-11-15 06:04,ธนาคาร,-47830.0,การถอนเงินอัตโนมัติ,ทำรายการสำเร็จ,0.0,
